Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1323,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.5,2,111
Florence,1323,,Commercial,"Florence, florin of",1,"Florence, soldo of",67,2,427
Florence,1323.04,1323.05,Commercial,"Florence, florin of",1,"Florence, soldo of",66.5,2,427
Florence,1323.05.16,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.5,2,427
Florence,1323.11.12,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.17,2,427
Curia,1324,,Bill of exchange,"Florence, florin of",1,"Florence, soldo of",66.5,3,439
Florence,1324,,Commercial,"Florence, florin of",1,"Florence, soldo of",66,3,427
Florence,1324,1325,Commercial,"Florence, florin of",1,"Florence, soldo of",66.75,3,111
Florence,1324.11.18,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.75,3,427
Florence,1325,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.67,3,427
Florence,1325.05,,Loan,"Florence, florin of",1,"Florence, soldo of",67,3,289
Florence,1325.05.15,,Commercial,"Florence, florin of",1,"Florence, soldo of",66.75,3,427
Florence,1326,,Commercial,"Florence, florin of",1,"Florence, soldo of",67,3,111
Florence,1326,,Commercial,"Florence, florin of",1,"Florence, soldo of",66,3,427
Florence,1326.04,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",67,3,289
Florence,1327,1328,Commercial,"Florence, florin of",1,"Florence, soldo of",65,3,427
Florence,1327,1329,Commercial,"Florence, florin of",1,"Florence, soldo of",66,3,111
Florence,1328,,Commercial,"Florence, florin of",1,"Florence, soldo of",65.33,3,427
Florence,1328.09,,Manual,"Florence, florin of",1,"Florence, soldo of",65.25,3,289
Florence,1329,,Commercial,"Florence, florin of",1,"Florence, soldo of",65,3,427
Florence,1329,,Commercial,"Florence, florin of",1,"Florence, soldo of",66,3,427
Florence,1329,1330,Manual,"Florence, florin of",1,"Florence, soldo of",65,3,31
Florence,1329.06,,Loan,"Florence, florin of",1,"Florence, soldo of",60,3,289
Florence,1329.08,,Loan,"Florence, florin of",1,"Florence, soldo of",60,3,289
Florence,1330,,Commercial,"Florence, florin of",1,"Florence, soldo of",65,3,111
Florence,1330,,Commercial,"Florence, florin of",1,"Florence, soldo of",63.33,3,427
Florence,1330.03.02,1330,Commercial,"Florence, florin of",1,"Florence, soldo of",65,3,427
Curia,1331,,Bill of exchange,"Florence, florin of",1,"Florence, soldo of",60,3,439
Florence,1331,,Commercial,"Florence, florin of",1,"Florence, soldo of",64,3,427
Florence,1331,1332,Commercial,"Florence, florin of",1,"Florence, soldo of",60,3,111
Florence,1332,,Commercial,"Florence, florin of",1,"Florence, soldo of",60,4,427
Florence,1332.02,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1332.05,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60,4,289
Florence,1332.08,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",57.5,4,289
Florence,1332.09,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",56.58,4,289
Florence,1332.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60,4,289
Florence,1332.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61.08,4,289
Florence,1332.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60.5,4,289
Florence,1333,,Commercial,"Florence, florin of",1,"Florence, soldo of",59,4,111
Florence,1333,,Commercial,"Florence, florin of",1,"Florence, soldo of",59.75,4,427
Florence,1334,,Commercial,"Florence, florin of",1,"Florence, soldo of",59.5,4,427
Florence,1334.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",59,4,289
Florence,1334.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",59.83,4,289
Florence,1334.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",59.83,4,289
Curia,1335,,Bill of exchange,"Florence, florin of",1,"Florence, soldo of",62,4,439
Florence,1335,,Commercial,"Florence, florin of",1,"Florence, soldo of",50.67,4,111
Florence,1335.05,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",59,4,289
Florence,1335.07,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",59,4,289
Florence,1335.09,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",56.5,4,289
Florence,1335.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60,4,289
Florence,1335.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60.25,4,289
Florence,1335.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",60.67,4,289
Florence,1336,,Commercial,"Florence, florin of",1,"Florence, soldo of",61,4,111
Florence,1336.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61,4,289
Florence,1336.04,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61,4,289
Florence,1336.07,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61,4,289
Florence,1336.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.33,4,289
Florence,1337,1339,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,111
Florence,1337.02.13,,Commercial,"Florence, florin of",1,"Florence, soldo of",65,4,427
Florence,1337.02.13,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,427
Florence,1338,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,427
Florence,1338.02,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.58,4,289
