Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1361,,Commercial,"Florence, florin of",1,"Florence, soldo of",68,5,111
Florence,1361.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1362,,Manual,"Florence, florin of",1,"Florence, soldo of",67.17,5,31
Florence,1362.08,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",65.33,5,289
Florence,1362.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1363,,Manual,"Florence, florin of",1,"Florence, soldo of",65.83,5,31
Florence,1363.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.75,5,289
Florence,1363.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.67,5,289
Florence,1363.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",65,5,289
Florence,1363.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",65,5,289
Florence,1364.05,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.5,5,289
Florence,1364.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.42,5,289
Florence,1364.06,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1364.07,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.67,5,289
Florence,1364.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.67,5,289
Florence,1364.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66.83,5,289
Florence,1364.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1364.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.25,5,289
Florence,1365,,Manual,"Florence, florin of",1,"Florence, soldo of",66.33,5,31
Florence,1365.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.17,5,289
Florence,1365.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.75,5,289
Florence,1365.03,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.42,5,289
Florence,1365.04,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.75,5,289
Florence,1365.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.17,5,289
Florence,1365.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.25,5,289
Florence,1365.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.58,5,289
Florence,1365.10,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66.75,5,289
Florence,1365.11,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1365.11,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67.25,5,289
Florence,1365.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.83,5,289
Florence,1365.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.75,5,289
Florence,1365.12,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1366.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",67.08,5,289
Florence,1366.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",67.42,5,289
Florence,1366.03,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1366.07,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68,5,289
Florence,1366.10,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1367.01,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1367.02,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67.17,5,289
Florence,1367.04,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1368,1369,Manual,"Florence, florin of",1,"Florence, soldo of",65.67,5,31
Florence,1368.06,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1368.07,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",67,5,289
Florence,1368.08,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1368.10,,Wage and rent accounting,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1368.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",66.5,5,460
Florence,1368.11,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66,5,289
Florence,1369.03,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",65.5,5,289
Florence,1370,,Commercial,"Florence, florin of",1,"Florence, soldo of",68.25,5,111
Florence,1370,,Manual,"Florence, florin of",1,"Florence, soldo of",65.5,5,31
Florence,1370.11,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66.5,5,289
