year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02020271,,,,,,0.0102365,
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02020271,,,,,,0.01587717,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.1523226,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.24151585,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01980263,,,,,,-0.34271959,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01980263,,,,,,0.25936876,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.11195411,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.01839916,
1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01980263,,,,,,-0.01086229,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01980263,,,,,,0.05122503,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.14913534,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02020271,,,,,,0.02319265,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02020271,,,,,,0.00272554,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01980263,,,,,,-0.01868186,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.02302733,
