date,price,currency,silver_oz_per_gold_oz
1258-01-01,0.89,GBP,
1259-01-01,0.89,GBP,
1260-01-01,0.89,GBP,
1261-01-01,0.89,GBP,
1262-01-01,0.89,GBP,
1263-01-01,0.89,GBP,
1264-01-01,0.89,GBP,
1265-01-01,1.07,GBP,
1266-01-01,1.07,GBP,
1267-01-01,1.07,GBP,
1268-01-01,1.07,GBP,
1269-01-01,1.07,GBP,
1270-01-01,1.07,GBP,
1271-01-01,1.07,GBP,
1272-01-01,1.07,GBP,
1273-01-01,1.07,GBP,
1274-01-01,1.07,GBP,
1275-01-01,1.07,GBP,
1276-01-01,1.07,GBP,
1277-01-01,1.07,GBP,
1278-01-01,1.07,GBP,
1279-01-01,1.07,GBP,
1280-01-01,1.07,GBP,
1281-01-01,1.07,GBP,
1282-01-01,1.07,GBP,
1283-01-01,1.07,GBP,
1284-01-01,1.07,GBP,
1285-01-01,1.07,GBP,
1286-01-01,1.07,GBP,
1287-01-01,1.07,GBP,
1288-01-01,1.07,GBP,
1289-01-01,1.07,GBP,
1290-01-01,1.07,GBP,
1291-01-01,1.07,GBP,
1292-01-01,1.07,GBP,
1293-01-01,1.07,GBP,
1294-01-01,1.07,GBP,
1295-01-01,1.07,GBP,
1296-01-01,1.07,GBP,
1297-01-01,1.07,GBP,
1298-01-01,1.07,GBP,
1299-01-01,1.07,GBP,
1300-01-01,1.07,GBP,
1301-01-01,1.07,GBP,
1302-01-01,1.07,GBP,
1303-01-01,1.07,GBP,
1304-01-01,1.07,GBP,
1305-01-01,1.07,GBP,
1306-01-01,1.07,GBP,
1307-01-01,1.07,GBP,
1308-01-01,1.07,GBP,
1309-01-01,1.07,GBP,
1310-01-01,1.07,GBP,
1311-01-01,1.07,GBP,
1312-01-01,1.07,GBP,
1313-01-01,1.07,GBP,
1314-01-01,1.07,GBP,
1315-01-01,1.07,GBP,
1316-01-01,1.07,GBP,
1317-01-01,1.07,GBP,
1318-01-01,1.07,GBP,
1319-01-01,1.07,GBP,
1320-01-01,1.07,GBP,
1321-01-01,1.07,GBP,
1322-01-01,1.07,GBP,
1323-01-01,1.07,GBP,
1324-01-01,1.07,GBP,
1325-01-01,1.07,GBP,
1326-01-01,1.07,GBP,
1327-01-01,1.07,GBP,
1328-01-01,1.07,GBP,
