date,price,source
1258-01-01,0.89,measuringworth_british (GBP)
1259-01-01,0.89,measuringworth_british (GBP)
1260-01-01,0.89,measuringworth_british (GBP)
1261-01-01,0.89,measuringworth_british (GBP)
1262-01-01,0.89,measuringworth_british (GBP)
1263-01-01,0.89,measuringworth_british (GBP)
1264-01-01,0.89,measuringworth_british (GBP)
1265-01-01,1.07,measuringworth_british (GBP)
1266-01-01,1.07,measuringworth_british (GBP)
1267-01-01,1.07,measuringworth_british (GBP)
1268-01-01,1.07,measuringworth_british (GBP)
1269-01-01,1.07,measuringworth_british (GBP)
1270-01-01,1.07,measuringworth_british (GBP)
1271-01-01,1.07,measuringworth_british (GBP)
1272-01-01,1.07,measuringworth_british (GBP)
1273-01-01,1.07,measuringworth_british (GBP)
1274-01-01,1.07,measuringworth_british (GBP)
1275-01-01,1.07,measuringworth_british (GBP)
1276-01-01,1.07,measuringworth_british (GBP)
1277-01-01,1.07,measuringworth_british (GBP)
1278-01-01,1.07,measuringworth_british (GBP)
1279-01-01,1.07,measuringworth_british (GBP)
1280-01-01,1.07,measuringworth_british (GBP)
1281-01-01,1.07,measuringworth_british (GBP)
1282-01-01,1.07,measuringworth_british (GBP)
1283-01-01,1.07,measuringworth_british (GBP)
1284-01-01,1.07,measuringworth_british (GBP)
1285-01-01,1.07,measuringworth_british (GBP)
1286-01-01,1.07,measuringworth_british (GBP)
1287-01-01,1.07,measuringworth_british (GBP)
1288-01-01,1.07,measuringworth_british (GBP)
1289-01-01,1.07,measuringworth_british (GBP)
1290-01-01,1.07,measuringworth_british (GBP)
1291-01-01,1.07,measuringworth_british (GBP)
1292-01-01,1.07,measuringworth_british (GBP)
1293-01-01,1.07,measuringworth_british (GBP)
1294-01-01,1.07,measuringworth_british (GBP)
1295-01-01,1.07,measuringworth_british (GBP)
1296-01-01,1.07,measuringworth_british (GBP)
1297-01-01,1.07,measuringworth_british (GBP)
1298-01-01,1.07,measuringworth_british (GBP)
1299-01-01,1.07,measuringworth_british (GBP)
1300-01-01,1.07,measuringworth_british (GBP)
1301-01-01,1.07,measuringworth_british (GBP)
1302-01-01,1.07,measuringworth_british (GBP)
1303-01-01,1.07,measuringworth_british (GBP)
1304-01-01,1.07,measuringworth_british (GBP)
1305-01-01,1.07,measuringworth_british (GBP)
1306-01-01,1.07,measuringworth_british (GBP)
1307-01-01,1.07,measuringworth_british (GBP)
1308-01-01,1.07,measuringworth_british (GBP)
1309-01-01,1.07,measuringworth_british (GBP)
1310-01-01,1.07,measuringworth_british (GBP)
1311-01-01,1.07,measuringworth_british (GBP)
1312-01-01,1.07,measuringworth_british (GBP)
1313-01-01,1.07,measuringworth_british (GBP)
1314-01-01,1.07,measuringworth_british (GBP)
1315-01-01,1.07,measuringworth_british (GBP)
1316-01-01,1.07,measuringworth_british (GBP)
1317-01-01,1.07,measuringworth_british (GBP)
1318-01-01,1.07,measuringworth_british (GBP)
1319-01-01,1.07,measuringworth_british (GBP)
1320-01-01,1.07,measuringworth_british (GBP)
1321-01-01,1.07,measuringworth_british (GBP)
1322-01-01,1.07,measuringworth_british (GBP)
1323-01-01,1.07,measuringworth_british (GBP)
1324-01-01,1.07,measuringworth_british (GBP)
1325-01-01,1.07,measuringworth_british (GBP)
1326-01-01,1.07,measuringworth_british (GBP)
1327-01-01,1.07,measuringworth_british (GBP)
1328-01-01,1.07,measuringworth_british (GBP)
1329-01-01,1.07,measuringworth_british (GBP)
1330-01-01,1.07,measuringworth_british (GBP)
1331-01-01,1.07,measuringworth_british (GBP)
1332-01-01,1.07,measuringworth_british (GBP)
1333-01-01,1.07,measuringworth_british (GBP)
1334-01-01,1.07,measuringworth_british (GBP)
1335-01-01,1.07,measuringworth_british (GBP)
1336-01-01,1.07,measuringworth_british (GBP)
1337-01-01,1.07,measuringworth_british (GBP)
1338-01-01,1.07,measuringworth_british (GBP)
1339-01-01,1.07,measuringworth_british (GBP)
1340-01-01,1.07,measuringworth_british (GBP)
1341-01-01,1.07,measuringworth_british (GBP)
1342-01-01,1.07,measuringworth_british (GBP)
1343-01-01,1.33,measuringworth_british (GBP)
1344-01-01,1.17,measuringworth_british (GBP)
1345-01-01,1.17,measuringworth_british (GBP)
1346-01-01,1.24,measuringworth_british (GBP)
1347-01-01,1.24,measuringworth_british (GBP)
1348-01-01,1.24,measuringworth_british (GBP)
1349-01-01,1.25,measuringworth_british (GBP)
1350-01-01,1.25,measuringworth_british (GBP)
1351-01-01,1.34,measuringworth_british (GBP)
1352-01-01,1.34,measuringworth_british (GBP)
1353-01-01,1.34,measuringworth_british (GBP)
1354-01-01,1.34,measuringworth_british (GBP)
1355-01-01,1.34,measuringworth_british (GBP)
1356-01-01,1.34,measuringworth_british (GBP)
1357-01-01,1.34,measuringworth_british (GBP)
1358-01-01,1.34,measuringworth_british (GBP)
