country,n_years,start_year,end_year,mean_log_return,annual_volatility,excess_kurtosis,max_annual_log_return,min_annual_log_return
Mexico,104,1922,2025,0.02148285352048355,0.7138650761251385,83.65942285223078,1.089732798282658,-6.898396642441566
Austria,67,1914,1999,-0.07792942487869528,1.1949541584487715,49.93440880736571,2.33902825615412,-9.213868988819543
Israel,77,1949,2025,0.03411123016960748,0.860521465940891,46.734535713101884,1.6517143451039207,-6.6749961472051895
Colombia,90,1927,2025,0.09381499171056314,1.1026865940406978,41.062736834032926,7.298343607859871,-7.331099597177538
Germany,82,1914,1999,0.02659061829658274,3.4858514258392264,37.78871643914412,15.974225280538619,-25.358680972761658
Peru,77,1949,2025,-0.018898681888293287,1.708079172079721,36.206138122643566,4.25518490889267,-12.401713945119084
Chile,101,1918,2025,0.05002261009895319,0.9822631889245931,35.22228223894367,2.1142138241759274,-6.802612936747629
Belgium,76,1914,1999,-0.004003237057415884,0.2105676942525764,28.154045828545776,0.5480866492227277,-1.4496713296235053
France,86,1914,1999,0.003472295735137638,0.7559835017161867,24.03678741042201,3.8195175141422495,-4.60553097716424
New Zealand,97,1929,2025,0.021854190480601995,0.12627319911393195,21.195142928760287,0.8876373637592339,-0.2258878029027118
Venezuela,77,1949,2025,0.04616048174614616,2.41531968938369,20.949554422192886,12.948178579374106,-13.091929011245652
Argentina,102,1917,2025,0.06667468858258324,1.524586434682898,19.931895019465784,3.8787303484384075,-9.172221413872572
Indonesia,58,1968,2025,0.08106171834678574,0.1986349265557064,19.201939994028404,1.2359972946744522,-0.2427684361587334
Australia,87,1929,2025,0.01957020650337044,0.11168826299975504,14.029403891005312,0.694260146729366,-0.1840036429769394
Sri Lanka,54,1972,2025,0.07394380716353315,0.10856074038747486,13.983697700260805,0.6283374253856262,-0.0808289590955559
Brazil,102,1917,2025,0.0014056505925178742,1.469749029544102,13.323214405588157,3.1822573758736885,-7.557856634584549
Spain,134,1851,1999,0.016597589133406067,0.12452449421786886,11.558244965386228,0.7102274216947475,-0.6409258347170389
Italy,81,1914,1999,0.04363212106215354,0.15909612685388236,10.646567383341697,0.8274669730931952,-0.281903615000913
Philippines,77,1949,2025,0.043742081829957424,0.11095361598699355,10.343290524128143,0.6127743854102314,-0.10610999636345646
South Africa,97,1929,2025,0.045991628563196864,0.12217427971377039,8.307390652635648,0.6951033080524944,-0.3308404486755546
Japan,94,1917,2025,-0.0011154223697760325,0.10395205854012494,8.26144656318684,0.5519207517136224,-0.3481983706460475
Ireland,48,1952,1999,0.025133517898412856,0.11084223967027954,7.783060738136854,0.5295130077522872,-0.22958819931009963
United Kingdom,234,1792,2025,0.005301921131967536,0.06990767733382026,5.2089795312629334,0.27487922571339857,-0.342719594722592
Malaysia,97,1922,2025,0.005585035887051873,0.0808165361540806,4.967218433316793,0.331689277373301,-0.19777524771545316
China,63,1923,2025,0.06013926591108208,0.15562841592108737,4.695330511717861,0.6830704458996686,-0.27436020126384963
Hong Kong,66,1917,2025,0.010046586287273255,0.10924591969613857,4.527652084478738,0.4190820544843769,-0.2735087757029859
Korea,43,1983,2025,0.015441395482490202,0.09530591516475766,3.9537558689945485,0.3905279533082015,-0.16293906579616826
Thailand,44,1982,2025,0.009399480965728168,0.07417507702009642,3.7937654013825197,0.2836348874568396,-0.16225805020886838
Greece,39,1916,1999,0.09018879026783684,0.16038190805234406,3.116161976859936,0.6568230019775853,-0.2622702397389181
Switzerland,107,1914,2025,-0.017072534708707714,0.08739709787018242,2.9424212663646614,0.27467711872067907,-0.31154817646435345
Norway,104,1916,2025,0.008378141249638137,0.10166837677682891,2.523395414244666,0.3965948851349784,-0.24909638483885485
India,103,1923,2025,0.031269060352330444,0.07702350175305678,2.4538033659914955,0.2828226390780343,-0.19077826681217794
Portugal,75,1917,1999,0.04195542726501063,0.12931178565300686,2.437577085480523,0.45006717608682045,-0.3979902626409558
Denmark,106,1914,2025,0.006129379846978568,0.10212292609202335,2.3910698717489973,0.38937838298559435,-0.2693569523259004
Netherlands,81,1914,1999,-0.004898640419820892,0.09372908074209774,2.2995412208332686,0.2740196604253888,-0.30400714689283603
Finland,48,1922,1999,0.004474689364548142,0.12254659589093503,1.9796466528238472,0.4289647340992602,-0.2672772432512081
Sweden,105,1916,2025,0.0096713312098242,0.09597432984490971,1.5651446741638937,0.31277620144936846,-0.18819012234251647
Taiwan,41,1985,2025,-0.005861813354656183,0.056146342494093775,1.5618455762893948,0.1534404860337038,-0.17535310770921647
Canada,105,1914,2025,0.0034054509633968722,0.04377573329166023,1.1704599813850924,0.14694505555226223,-0.11428686199060921
Singapore,44,1982,2025,-0.010843322018541867,0.04095990089481805,1.0107336828376745,0.11825408307265022,-0.08088685284321998
